producto,toneladas,fecha
centeno,86,2001/1
centeno,86,2001/2
centeno,92,2001/7
centeno,88,2001/6
centeno,83,2001/3
centeno,81,2001/5
centeno,93,2001/11
centeno,41,2001/10
centeno,100,2001/9
girasol,305416,2001/4
girasol,242368,2001/8
girasol,218808,2001/12
girasol,201699,2001/1
girasol,274807,2001/2
girasol,231665,2001/7
girasol,223591,2001/6
girasol,490321,2001/3
girasol,240620,2001/5
girasol,196486,2001/11
girasol,234161,2001/10
girasol,276361,2001/9
maiz,198157,2001/4
maiz,192161,2001/8
maiz,142646,2001/12
maiz,187614,2001/1
maiz,174777,2001/2
maiz,204994,2001/7
maiz,187427,2001/6
maiz,200856,2001/3
maiz,204847,2001/5
maiz,157475,2001/11
maiz,184241,2001/10
maiz,183124,2001/9
mani,0,2001/4
mani,23017,2001/8
mani,8722,2001/12
mani,12681,2001/1
mani,7704,2001/2
mani,17560,2001/7
mani,18718,2001/6
mani,8510,2001/3
mani,10159,2001/5
mani,17259,2001/11
mani,17522,2001/10
mani,20583,2001/9
soja,1729042,2001/4
soja,1976432,2001/8
soja,1612605,2001/12
soja,922604,2001/1
soja,376811,2001/2
soja,1945524,2001/7
soja,1819248,2001/6
soja,885810,2001/3
soja,1901316,2001/5
soja,1779116,2001/11
soja,1844137,2001/10
soja,1717947,2001/9
avena,377,2002/4
avena,1357,2002/8
avena,392,2002/12
avena,939,2002/1
avena,1167,2002/2
avena,1394,2002/7
avena,691,2002/6
avena,5575,2002/3
avena,988,2002/5
avena,540,2002/11
avena,768,2002/10
avena,839,2002/9
centeno,5,2002/4
centeno,5,2002/8
centeno,2,2002/12
centeno,20,2002/1
centeno,17,2002/2
centeno,5,2002/7
centeno,3,2002/6
centeno,3,2002/3
centeno,3,2002/5
centeno,1,2002/11
centeno,4,2002/10
centeno,1,2002/9
girasol,391546,2002/4
girasol,186508,2002/8
girasol,149364,2002/12
girasol,103439,2002/1
girasol,178447,2002/2
girasol,290656,2002/7
girasol,277939,2002/6
girasol,469520,2002/3
girasol,361368,2002/5
girasol,207683,2002/11
girasol,187402,2002/10
girasol,184710,2002/9
maiz,144334,2002/4
maiz,138038,2002/8
maiz,148044,2002/12
maiz,125850,2002/1
maiz,131574,2002/2
maiz,156237,2002/7
maiz,139725,2002/6
maiz,144364,2002/3
maiz,142195,2002/5
maiz,149690,2002/11
maiz,150358,2002/10
maiz,142293,2002/9
mani,12095,2002/4
mani,20468,2002/8
mani,14695,2002/12
mani,0,2002/1
mani,0,2002/2
mani,16781,2002/7
mani,11516,2002/6
mani,15733,2002/3
mani,1098,2002/5
mani,18495,2002/11
mani,5208,2002/10
mani,12588,2002/9
soja,1612678,2002/4
soja,2245710,2002/8
soja,1740597,2002/12
soja,1391965,2002/1
soja,891683,2002/2
soja,2204815,2002/7
soja,2076671,2002/6
soja,1127137,2002/3
soja,2060305,2002/5
soja,1836930,2002/11
soja,2202503,2002/10
soja,2212765,2002/9
avena,909,2003/4
avena,1142,2003/8
avena,452,2003/12
avena,1214,2003/1
avena,916,2003/2
avena,656,2003/7
avena,541,2003/6
avena,519,2003/3
avena,1074,2003/5
avena,439,2003/11
avena,452,2003/10
avena,699,2003/9
centeno,0,2003/4
centeno,2,2003/8
centeno,0,2003/12
centeno,1,2003/1
centeno,1,2003/2
centeno,2,2003/7
centeno,1,2003/6
centeno,1,2003/3
centeno,2,2003/5
centeno,2,2003/11
centeno,2,2003/10
centeno,2,2003/9
girasol,331022,2003/4
girasol,222147,2003/8
girasol,169569,2003/12
girasol,390842,2003/1
girasol,298069,2003/2
girasol,236055,2003/7
girasol,283543,2003/6
girasol,503306,2003/3
girasol,232394,2003/5
girasol,221274,2003/11
girasol,215374,2003/10
girasol,182658,2003/9
maiz,173209,2003/4
maiz,183307,2003/8
maiz,169136,2003/12
maiz,158294,2003/1
maiz,145168,2003/2
maiz,168320,2003/7
maiz,168069,2003/6
maiz,160589,2003/3
maiz,181832,2003/5
maiz,172213,2003/11
maiz,170980,2003/10
maiz,174613,2003/9
mani,6472,2003/4
mani,14123,2003/8
mani,4926,2003/12
mani,5435,2003/1
mani,17365,2003/2
mani,7239,2003/7
mani,8900,2003/6
mani,17668,2003/3
mani,4854,2003/5
mani,7123,2003/11
mani,6458,2003/10
mani,13812,2003/9
soja,1988241,2003/4
soja,2271625,2003/8
soja,1930890,2003/12
soja,1538838,2003/1
soja,1367222,2003/2
soja,2425982,2003/7
soja,2236557,2003/6
soja,1517989,2003/3
soja,2297353,2003/5
soja,2186237,2003/11
soja,2440743,2003/10
soja,2320886,2003/9
avena,720,2004/4
avena,916,2004/8
avena,687,2004/12
avena,962,2004/1
avena,942,2004/2
avena,952,2004/7
avena,488,2004/6
avena,698,2004/3
avena,519,2004/5
avena,440,2004/11
avena,604,2004/10
avena,810,2004/9
centeno,0,2004/4
centeno,0,2004/8
centeno,44,2004/12
centeno,0,2004/1
centeno,2,2004/2
centeno,0,2004/7
centeno,0,2004/6
centeno,1,2004/3
centeno,0,2004/5
centeno,46,2004/11
centeno,43,2004/10
centeno,0,2004/9
girasol,281895,2004/4
girasol,247761,2004/8
girasol,142763,2004/12
girasol,193184,2004/1
girasol,239109,2004/2
girasol,248730,2004/7
girasol,208058,2004/6
girasol,416807,2004/3
girasol,193537,2004/5
girasol,231105,2004/11
girasol,240933,2004/10
girasol,198596,2004/9
maiz,162108,2004/4
maiz,175722,2004/8
maiz,172487,2004/12
maiz,158554,2004/1
maiz,146897,2004/2
maiz,174703,2004/7
maiz,161263,2004/6
maiz,140614,2004/3
maiz,165786,2004/5
maiz,175166,2004/11
maiz,171884,2004/10
maiz,175883,2004/9
mani,1615,2004/4
mani,8533,2004/8
mani,12871,2004/12
mani,817,2004/1
mani,2523,2004/2
mani,10155,2004/7
mani,9850,2004/6
mani,3406,2004/3
mani,0,2004/5
mani,16459,2004/11
mani,20968,2004/10
mani,16821,2004/9
soja,2207277,2004/4
soja,2156122,2004/8
soja,1671303,2004/12
soja,1985889,2004/1
soja,1384801,2004/2
soja,2279907,2004/7
soja,2414885,2004/6
soja,1530160,2004/3
soja,2528526,2004/5
soja,1939433,2004/11
soja,2136158,2004/10
soja,2134242,2004/9
avena,1045,2005/4
avena,993,2005/8
avena,724,2005/12
avena,950,2005/1
avena,716,2005/2
avena,1612,2005/7
avena,1245,2005/6
avena,951,2005/3
avena,1281,2005/5
avena,684,2005/11
avena,838,2005/10
avena,912,2005/9
centeno,40,2005/4
centeno,42,2005/8
centeno,20,2005/12
centeno,41,2005/1
centeno,44,2005/2
centeno,48,2005/7
centeno,40,2005/6
centeno,44,2005/3
centeno,44,2005/5
centeno,20,2005/11
centeno,39,2005/10
centeno,42,2005/9
girasol,343878,2005/4
girasol,332116,2005/8
girasol,203007,2005/12
girasol,213898,2005/1
girasol,235302,2005/2
girasol,332407,2005/7
girasol,376105,2005/6
girasol,551689,2005/3
girasol,264859,2005/5
girasol,221549,2005/11
girasol,225971,2005/10
girasol,262481,2005/9
maiz,172451,2005/4
maiz,194266,2005/8
maiz,192445,2005/12
maiz,172477,2005/1
maiz,154565,2005/2
maiz,199860,2005/7
maiz,190943,2005/6
maiz,174272,2005/3
maiz,185408,2005/5
maiz,202402,2005/11
maiz,189865,2005/10
maiz,184559,2005/9
mani,2335,2005/4
mani,12859,2005/8
mani,14676,2005/12
mani,14954,2005/1
mani,20042,2005/2
mani,18248,2005/7
mani,9667,2005/6
mani,8509,2005/3
mani,13750,2005/5
mani,12762,2005/11
mani,15163,2005/10
mani,15964,2005/9
soja,2268756,2005/4
soja,2619415,2005/8
soja,2621210,2005/12
soja,1992536,2005/1
soja,1807921,2005/2
soja,2885239,2005/7
soja,2688863,2005/6
soja,1932935,2005/3
soja,2765973,2005/5
soja,2114579,2005/11
soja,2453877,2005/10
soja,2798220,2005/9
avena,1124,2006/4
avena,767,2006/8
avena,621,2006/12
avena,503,2006/1
avena,666,2006/2
avena,946,2006/7
avena,998,2006/6
avena,887,2006/3
avena,1241,2006/5
avena,881,2006/11
avena,899,2006/10
avena,932,2006/9
centeno,37,2006/4
centeno,45,2006/8
centeno,56,2006/12
centeno,44,2006/1
centeno,37,2006/2
centeno,43,2006/7
centeno,45,2006/6
centeno,49,2006/3
centeno,47,2006/5
centeno,50,2006/11
centeno,53,2006/10
centeno,47,2006/9
girasol,426113,2006/4
girasol,347549,2006/8
girasol,189188,2006/12
girasol,269243,2006/1
girasol,341563,2006/2
girasol,287409,2006/7
girasol,386116,2006/6
girasol,558842,2006/3
girasol,333815,2006/5
girasol,108733,2006/11
girasol,259761,2006/10
girasol,246494,2006/9
maiz,211772,2006/4
maiz,228358,2006/8
maiz,196759,2006/12
maiz,197997,2006/1
maiz,189607,2006/2
maiz,212278,2006/7
maiz,215595,2006/6
maiz,238638,2006/3
maiz,219928,2006/5
maiz,196611,2006/11
maiz,219364,2006/10
maiz,216964,2006/9
mani,15168,2006/4
mani,18606,2006/8
mani,11788,2006/12
mani,18465,2006/1
mani,5539,2006/2
mani,10087,2006/7
mani,15808,2006/6
mani,7047,2006/3
mani,7445,2006/5
mani,11037,2006/11
mani,10355,2006/10
mani,7962,2006/9
soja,2993750,2006/4
soja,2815366,2006/8
soja,2642700,2006/12
soja,2405278,2006/1
soja,1970666,2006/2
soja,3080901,2006/7
soja,3083605,2006/6
soja,2303850,2006/3
soja,3386008,2006/5
soja,2711074,2006/11
soja,2670359,2006/10
soja,3104882,2006/9
avena,1635,2007/4
avena,1434,2007/8
avena,772,2007/12
avena,693,2007/1
avena,1239,2007/2
avena,1581,2007/7
avena,1246,2007/6
avena,1184,2007/3
avena,1156,2007/5
avena,766,2007/11
avena,659,2007/10
avena,1310,2007/9
centeno,49,2007/4
centeno,56,2007/8
centeno,40,2007/12
centeno,68,2007/1
centeno,46,2007/2
centeno,47,2007/7
centeno,63,2007/6
centeno,62,2007/3
centeno,51,2007/5
centeno,62,2007/11
centeno,58,2007/10
centeno,51,2007/9
girasol,338808,2007/4
girasol,256753,2007/8
girasol,43115,2007/12
girasol,269363,2007/1
girasol,290873,2007/2
girasol,322488,2007/7
girasol,263691,2007/6
girasol,521222,2007/3
girasol,256293,2007/5
girasol,120010,2007/11
girasol,185343,2007/10
girasol,192318,2007/9
maiz,213105,2007/4
maiz,247420,2007/8
maiz,211800,2007/12
maiz,187016,2007/1
maiz,180343,2007/2
maiz,230116,2007/7
maiz,224391,2007/6
maiz,220177,2007/3
maiz,228780,2007/5
maiz,226746,2007/11
maiz,230991,2007/10
maiz,226928,2007/9
mani,4330,2007/4
mani,16728,2007/8
mani,9619,2007/12
mani,7735,2007/1
mani,5928,2007/2
mani,10619,2007/7
mani,4364,2007/6
mani,1772,2007/3
mani,7493,2007/5
mani,11949,2007/11
mani,8719,2007/10
mani,7459,2007/9
soja,3014015,2007/4
soja,3043652,2007/8
soja,3627338,2007/12
soja,2400456,2007/1
soja,1926772,2007/2
soja,2832976,2007/7
soja,3276435,2007/6
soja,2395232,2007/3
soja,3477204,2007/5
soja,3455150,2007/11
soja,3612909,2007/10
soja,3612234,2007/9
avena,1740,2008/4
avena,1888,2008/8
avena,1485,2008/12
avena,1330,2008/1
avena,1602,2008/2
avena,2083,2008/7
avena,1513,2008/6
avena,1123,2008/3
avena,1740,2008/5
avena,1155,2008/11
avena,1533,2008/10
avena,1909,2008/9
centeno,69,2008/4
centeno,141,2008/8
centeno,51,2008/12
centeno,46,2008/1
centeno,55,2008/2
centeno,104,2008/7
centeno,39,2008/6
centeno,62,2008/3
centeno,65,2008/5
centeno,51,2008/11
centeno,54,2008/10
centeno,100,2008/9
girasol,550804,2008/4
girasol,370998,2008/8
girasol,249089,2008/12
girasol,239943,2008/1
girasol,255468,2008/2
girasol,410738,2008/7
girasol,307556,2008/6
girasol,518799,2008/3
girasol,470001,2008/5
girasol,200146,2008/11
girasol,297314,2008/10
girasol,340442,2008/9
maiz,239977,2008/4
maiz,245420,2008/8
maiz,245352,2008/12
maiz,221940,2008/1
maiz,224340,2008/2
maiz,252691,2008/7
maiz,195668,2008/6
maiz,211919,2008/3
maiz,236854,2008/5
maiz,231261,2008/11
maiz,253434,2008/10
maiz,255549,2008/9
mani,17738,2008/4
mani,19281,2008/8
mani,8033,2008/12
mani,8658,2008/1
mani,6346,2008/2
mani,17846,2008/7
mani,9442,2008/6
mani,9750,2008/3
mani,6517,2008/5
mani,17305,2008/11
mani,17690,2008/10
mani,9593,2008/9
soja,2844508,2008/4
soja,3054111,2008/8
soja,2374019,2008/12
soja,2978485,2008/1
soja,2212732,2008/2
soja,3485543,2008/7
soja,1926112,2008/6
soja,1204885,2008/3
soja,3331566,2008/5
soja,2632604,2008/11
soja,2792929,2008/10
soja,3246132,2008/9
avena,1345,2009/4
avena,1327,2009/8
avena,1213,2009/12
avena,1267,2009/1
avena,1627,2009/2
avena,1183,2009/7
avena,1732,2009/6
avena,1485,2009/3
avena,1817,2009/5
avena,637,2009/11
avena,728,2009/10
avena,1164,2009/9
centeno,62,2009/4
centeno,49,2009/8
centeno,75,2009/12
centeno,65,2009/1
centeno,39,2009/2
centeno,68,2009/7
centeno,56,2009/6
centeno,137,2009/3
centeno,44,2009/5
centeno,49,2009/11
centeno,94,2009/10
centeno,78,2009/9
girasol,318734,2009/4
girasol,261986,2009/8
girasol,141519,2009/12
girasol,216789,2009/1
girasol,327550,2009/2
girasol,304982,2009/7
girasol,327368,2009/6
girasol,493931,2009/3
girasol,348345,2009/5
girasol,178424,2009/11
girasol,269833,2009/10
girasol,273892,2009/9
maiz,250425,2009/4
maiz,274330,2009/8
maiz,268066,2009/12
maiz,288037,2009/1
maiz,267883,2009/2
maiz,289362,2009/7
maiz,258621,2009/6
maiz,257588,2009/3
maiz,253229,2009/5
maiz,245389,2009/11
maiz,281596,2009/10
maiz,282465,2009/9
mani,10793,2009/4
mani,14793,2009/8
mani,20014,2009/12
mani,14501,2009/1
mani,14458,2009/2
mani,21863,2009/7
mani,21847,2009/6
mani,13520,2009/3
mani,17310,2009/5
mani,16957,2009/11
mani,18086,2009/10
mani,16520,2009/9
soja,3206922,2009/4
soja,2250143,2009/8
soja,2010534,2009/12
soja,2351979,2009/1
soja,2111762,2009/2
soja,2787808,2009/7
soja,3069093,2009/6
soja,2111342,2009/3
soja,3605661,2009/5
soja,2381207,2009/11
soja,2459849,2009/10
soja,2390879,2009/9
avena,1699,2010/4
avena,1763,2010/8
avena,786,2010/12
avena,1827,2010/1
avena,1754,2010/2
avena,1654,2010/7
avena,1598,2010/6
avena,1576,2010/3
avena,1636,2010/5
avena,950,2010/11
avena,1194,2010/10
avena,1547,2010/9
centeno,27,2010/4
centeno,30,2010/8
centeno,51,2010/12
centeno,47,2010/1
centeno,35,2010/2
centeno,20,2010/7
centeno,0,2010/6
centeno,72,2010/3
centeno,21,2010/5
centeno,33,2010/11
centeno,0,2010/10
centeno,33,2010/9
girasol,320939,2010/4
girasol,227116,2010/8
girasol,176645,2010/12
girasol,113919,2010/1
girasol,263541,2010/2
girasol,202739,2010/7
girasol,212444,2010/6
girasol,456603,2010/3
girasol,229986,2010/5
girasol,131252,2010/11
girasol,207474,2010/10
girasol,207818,2010/9
maiz,298726,2010/4
maiz,304344,2010/8
maiz,351174,2010/12
maiz,280288,2010/1
maiz,275229,2010/2
maiz,295911,2010/7
maiz,295269,2010/6
maiz,326214,2010/3
maiz,295239,2010/5
maiz,276891,2010/11
maiz,320359,2010/10
maiz,350190,2010/9
mani,8982,2010/4
mani,16543,2010/8
mani,8542,2010/12
mani,12730,2010/1
mani,19632,2010/2
mani,4649,2010/7
mani,25031,2010/6
mani,9037,2010/3
mani,2296,2010/5
mani,8193,2010/11
mani,14346,2010/10
mani,5862,2010/9
soja,3759655,2010/4
soja,3861100,2010/8
soja,2720666,2010/12
soja,1656550,2010/1
soja,1428633,2010/2
soja,3620222,2010/7
soja,3698272,2010/6
soja,1736798,2010/3
soja,4176816,2010/5
soja,3186629,2010/11
soja,3671523,2010/10
soja,3797792,2010/9
avena,1599,2011/4
avena,1892,2011/8
avena,989,2011/12
avena,1374,2011/1
avena,1863,2011/2
avena,1900,2011/7
avena,1733,2011/6
avena,1344,2011/3
avena,1526,2011/5
avena,1245,2011/11
avena,1691,2011/10
avena,1657,2011/9
centeno,37,2011/4
centeno,41,2011/8
centeno,39,2011/12
centeno,25,2011/1
centeno,31,2011/2
centeno,64,2011/7
centeno,34,2011/6
centeno,35,2011/3
centeno,29,2011/5
centeno,93,2011/11
centeno,39,2011/10
centeno,39,2011/9
girasol,317841,2011/4
girasol,352337,2011/8
girasol,246870,2011/12
girasol,178855,2011/1
girasol,217551,2011/2
girasol,314022,2011/7
girasol,394710,2011/6
girasol,533247,2011/3
girasol,268969,2011/5
girasol,184067,2011/11
girasol,248004,2011/10
girasol,291454,2011/9
maiz,316885,2011/4
maiz,347297,2011/8
maiz,381172,2011/12
maiz,326661,2011/1
maiz,275625,2011/2
maiz,329403,2011/7
maiz,344236,2011/6
maiz,321623,2011/3
maiz,342299,2011/5
maiz,377190,2011/11
maiz,381449,2011/10
maiz,381404,2011/9
mani,6257,2011/4
mani,1305,2011/8
mani,4398,2011/12
mani,16669,2011/1
mani,3375,2011/2
mani,15917,2011/7
mani,13296,2011/6
mani,278,2011/3
mani,2159,2011/5
mani,9299,2011/11
mani,6265,2011/10
mani,15609,2011/9
soja,3791585,2011/4
soja,3057225,2011/8
soja,2893463,2011/12
soja,2347976,2011/1
soja,2074569,2011/2
soja,3285080,2011/7
soja,3347818,2011/6
soja,2790278,2011/3
soja,4065626,2011/5
soja,3046865,2011/11
soja,3359090,2011/10
soja,3773918,2011/9
avena,1028,2012/4
avena,1738,2012/8
avena,1135,2012/12
avena,1145,2012/1
avena,1375,2012/2
avena,1853,2012/7
avena,1850,2012/6
avena,1355,2012/3
avena,1681,2012/5
avena,1135,2012/11
avena,1723,2012/10
avena,1856,2012/9
centeno,44,2012/4
centeno,35,2012/8
centeno,32,2012/12
centeno,45,2012/1
centeno,46,2012/2
centeno,39,2012/7
centeno,3,2012/6
centeno,46,2012/3
centeno,45,2012/5
centeno,32,2012/11
centeno,32,2012/10
centeno,29,2012/9
girasol,480075,2012/4
girasol,295084,2012/8
girasol,154272,2012/12
girasol,223809,2012/1
girasol,305017,2012/2
girasol,332219,2012/7
girasol,369914,2012/6
girasol,566194,2012/3
girasol,265901,2012/5
girasol,189350,2012/11
girasol,260610,2012/10
girasol,233503,2012/9
maiz,352333,2012/4
maiz,414701,2012/8
maiz,321850,2012/12
maiz,343887,2012/1
maiz,327358,2012/2
maiz,356514,2012/7
maiz,318879,2012/6
maiz,354351,2012/3
maiz,364805,2012/5
maiz,347803,2012/11
maiz,386126,2012/10
maiz,350906,2012/9
mani,3081,2012/4
mani,18507,2012/8
mani,17704,2012/12
mani,11028,2012/1
mani,13111,2012/2
mani,4618,2012/7
mani,15908,2012/6
mani,5641,2012/3
mani,15244,2012/5
mani,9402,2012/11
mani,13936,2012/10
mani,20345,2012/9
soja,3551359,2012/4
soja,2869625,2012/8
soja,1977598,2012/12
soja,2624846,2012/1
soja,2299678,2012/2
soja,3019653,2012/7
soja,3283642,2012/6
soja,2473827,2012/3
soja,3832811,2012/5
soja,2261480,2012/11
soja,2454847,2012/10
soja,3112126,2012/9
avena,1129,2013/4
avena,1056,2013/8
avena,796,2013/12
avena,1439,2013/1
avena,1004,2013/2
avena,849,2013/7
avena,1197,2013/6
avena,1155,2013/3
avena,1543,2013/5
avena,666,2013/11
avena,596,2013/10
avena,916,2013/9
centeno,30,2013/4
centeno,24,2013/8
centeno,26,2013/12
centeno,81,2013/1
centeno,20,2013/2
centeno,4,2013/7
centeno,24,2013/6
centeno,40,2013/3
centeno,23,2013/5
centeno,0,2013/11
centeno,0,2013/10
centeno,0,2013/9
girasol,284528,2013/4
girasol,155861,2013/8
girasol,81755,2013/12
girasol,331824,2013/1
girasol,276254,2013/2
girasol,176382,2013/7
girasol,213761,2013/6
girasol,411044,2013/3
girasol,202431,2013/5
girasol,58460,2013/11
girasol,201893,2013/10
girasol,190218,2013/9
maiz,355837,2013/4
maiz,375930,2013/8
maiz,322869,2013/12
maiz,343147,2013/1
maiz,367826,2013/2
maiz,340580,2013/7
maiz,331280,2013/6
maiz,348613,2013/3
maiz,365224,2013/5
maiz,344916,2013/11
maiz,344667,2013/10
maiz,332085,2013/9
mani,10840,2013/4
mani,22752,2013/8
mani,23928,2013/12
mani,6680,2013/1
mani,15219,2013/2
mani,3320,2013/7
mani,19763,2013/6
mani,4727,2013/3
mani,7298,2013/5
mani,9573,2013/11
mani,24211,2013/10
mani,2127,2013/9
soja,3619878,2013/4
soja,3710420,2013/8
soja,1796204,2013/12
soja,1733156,2013/1
soja,1230486,2013/2
soja,3704273,2013/7
soja,3955256,2013/6
soja,1745032,2013/3
soja,3963926,2013/5
soja,2349652,2013/11
soja,2990087,2013/10
