provincia_id,EAP_con_limites,hectareas
6,51107,25788669.5
10,6694,1588805.7
14,25620,12244257.8
18,14673,6860573.0
22,15694,5899731.8
26,3574,19205261.2
30,21577,6351512.6
34,8994,5178607.1
38,4061,1282062.5
42,7774,12735009.0
46,5852,3069497.0
50,28329,6422130.3
54,27072,2067804.8
58,2198,2145699.7
62,7035,14716469.7
66,5575,4269499.2
70,7927,756224.6
74,4216,5388387.6
78,944,19884210.2
82,28034,11251653.2
86,10830,5393633.3
94,90,1171747.1
90,9555,1137117.2
