cod_pais,nom_pais,año,producto,destino,uni_med,nom_med,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1997,grano de maní,aceite de maní,t,tonelada,20246,18884,13526,752,8729,10991,13929,16333,14771,16132,13006,5041
32,Argentina,1998,grano de maní,aceite de maní,t,tonelada,2696,9917,0,3998,8944,19697,26875,45022,32949,33163,24689,15137
32,Argentina,1999,grano de maní,aceite de maní,t,tonelada,22860,18581,12977,0,14085,31074,14390,18317,28463,15004,18174,9672
32,Argentina,2000,grano de maní,aceite de maní,t,tonelada,12353,574,0,0,14892,19689,15123,19006,14752,19348,14507,14376
32,Argentina,2001,grano de maní,aceite de maní,t,tonelada,12681,7704,8510,0,10159,18718,17560,23017,20583,17522,17259,8722
32,Argentina,2002,grano de maní,aceite de maní,t,tonelada,0,0,15733,12095,1098,11516,16781,20468,12588,5208,18495,14695
32,Argentina,2003,grano de maní,aceite de maní,t,tonelada,5435,17365,17668,6472,4854,8900,7239,14123,13812,6458,7123,4926
32,Argentina,2004,grano de maní,aceite de maní,t,tonelada,817,2523,3406,1615,0,9850,10155,8533,16821,20968,16459,12871
32,Argentina,2005,grano de maní,aceite de maní,t,tonelada,14954,20042,8509,2335,13750,9667,18248,12859,15964,15163,12762,14676
32,Argentina,2006,grano de maní,aceite de maní,t,tonelada,18465,5539,7047,15168,7445,15808,10087,18606,7962,10355,11037,11788
32,Argentina,2007,grano de maní,aceite de maní,t,tonelada,7735,5928,1772,4330,7493,4364,10619,16728,7459,8719,11949,9619
32,Argentina,2008,grano de maní,aceite de maní,t,tonelada,8658,6346,9750,17738,6517,9442,17846,19281,9593,17690,17305,8033
32,Argentina,2009,grano de maní,aceite de maní,t,tonelada,14501,14458,13520,10793,17310,21847,21863,14793,16520,18086,16957,20014
32,Argentina,2010,grano de maní,aceite de maní,t,tonelada,12730,19632,9037,8982,2296,25031,4649,16543,5862,14346,8193,8542
32,Argentina,2011,grano de maní,aceite de maní,t,tonelada,16669,3375,278,6257,2159,13296,15917,1305,15609,6265,9299,4398
32,Argentina,2012,grano de maní,aceite de maní,t,tonelada,11028,13111,5641,3081,15244,15908,4618,18507,20345,13936,9402,17704
32,Argentina,2013,grano de maní,aceite de maní,t,tonelada,6680,15219,4727,10840,7298,19763,3320,22752,2127,24211,9573,23928
32,Argentina,2014,grano de maní,aceite de maní,t,tonelada,14295,15535,3914,15461,5431,18121,2266,27513,18740,12982,5031,28073
32,Argentina,2015,grano de maní,aceite de maní,t,tonelada,4569,15418,5843,17685,22323,25492,22234,17397,21533,4045,22629,25668
32,Argentina,2016,grano de maní,aceite de maní,t,tonelada,10003,13422,15743,17752,16075,17134,8938,20969,20125,5764,24790,23623
32,Argentina,2017,grano de maní,aceite de maní,t,tonelada,1710,29166,5744,22419,3600,18324,21543,24650,21076,4258,28371,28290
32,Argentina,2018,grano de maní,aceite de maní,t,tonelada,14197,27158,16045,18024,18193,19117,29721,23876,20904,,,
