pais_id,nom_pais,año,uni_med,nom_med,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,2009,t,tonelada,288037,267883,257588,250425,253229,258621,289362,274330,282465,281596,245389,268066
32,Argentina,2010,t,tonelada,280288,275229,326214,298726,295239,295269,295911,304344,350190,320359,276891,351174
32,Argentina,2011,t,tonelada,326661,275625,321623,316885,342299,344236,329403,347297,381404,381449,377190,381172
32,Argentina,2012,t,tonelada,343887,327358,354351,352333,364805,318879,356514,414701,350906,386126,347803,321850
32,Argentina,2013,t,tonelada,343147,367826,348613,355837,365224,331280,340580,375930,332085,344667,344916,322869
32,Argentina,2014,t,tonelada,371953,319106,400433,385313,372766,361202,387764,367413,371103,392631,363167,344092
32,Argentina,2015,t,tonelada,434901,417929,457367,447173,461227,461266,487894,435932,484853,485449,427696,420271
32,Argentina,2016,t,tonelada,451414,416106,466502,451189,417920,404035,425787,463206,448784,420647,449966,406866
32,Argentina,2017,t,tonelada,442819,391675,479873,449431,455560,471383,475235,483268,487019,506359,502225,472799
32,Argentina,2018,t,tonelada,506370,460563,517631,517027,519924,494904,5145414,518077,486925,,,
